movie_id,title,genres,description
1,Inception,Sci-Fi|Thriller,"A skilled thief enters people's dreams to steal secrets and plant ideas."
2,Interstellar,Sci-Fi|Drama,"A team of explorers travel through a wormhole in space to ensure humanity's survival."
3,The Dark Knight,Action|Crime|Drama,"Batman faces the Joker, a criminal mastermind who plunges Gotham into chaos."
4,The Matrix,Sci-Fi|Action,"A hacker discovers reality is a simulation and joins a rebellion against the machines."
5,The Shawshank Redemption,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption."
6,The Godfather,Crime|Drama,"The aging patriarch of an organized crime dynasty transfers control to his son."
7,Toy Story,Animation|Family,"Toys come to life and deal with friendship, jealousy, and adventure."
8,Finding Nemo,Animation|Family,"A timid clownfish sets out on a journey to find his missing son."
9,Avengers: Endgame,Action|Sci-Fi,"The Avengers assemble once more to reverse the damage caused by Thanos."
10,Guardians of the Galaxy,Action|Sci-Fi|Comedy,"A group of intergalactic criminals band together to save the universe."
11,La La Land,Romance|Musical,"A jazz musician and an aspiring actress fall in love while chasing their dreams."
12,Titanic,Romance|Drama,"A young couple from different social classes meet and fall in love aboard the Titanic."
13,The Social Network,Drama,"The story of Facebook's founding and the conflicts that followed."
14,Her,Romance|Sci-Fi,"A lonely writer develops an unlikely relationship with an operating system."
15,Inside Out,Animation|Family,"A young girl's emotions struggle to adapt after she moves to a new city."
